"Dropped Package Failure";"tick"
0.0;1.0
0.0;11.0
0.0;21.0
0.0;31.0
0.0;41.0
0.0;51.0
0.0;61.0
0.0;71.0
0.0;81.0
0.0;91.0
0.0;101.0
0.0;111.0
0.0;121.0
0.0;131.0
0.0;141.0
0.0;151.0
0.0;161.0
0.0;171.0
0.0;181.0
0.0;191.0
0.0;201.0
0.0;211.0
0.0;221.0
0.0;231.0
0.0;241.0
0.0;251.0
0.0;261.0
0.0;271.0
0.0;281.0
0.0;291.0
0.0;301.0
0.0;311.0
0.0;321.0
0.0;331.0
0.0;341.0
0.0;351.0
0.0;361.0
0.0;371.0
0.0;381.0
0.0;391.0
0.0;401.0
0.0;411.0
0.0;421.0
0.0;431.0
0.0;441.0
0.0;451.0
0.0;461.0
0.0;471.0
0.0;481.0
0.0;491.0
0.0;501.0
8.0;511.0
8.0;521.0
8.0;531.0
8.0;541.0
8.0;551.0
8.0;561.0
8.0;571.0
8.0;581.0
8.0;591.0
8.0;601.0
8.0;611.0
8.0;621.0
8.0;631.0
8.0;641.0
8.0;651.0
8.0;661.0
8.0;671.0
8.0;681.0
8.0;691.0
8.0;701.0
8.0;711.0
8.0;721.0
8.0;731.0
8.0;741.0
8.0;751.0
8.0;761.0
8.0;771.0
8.0;781.0
8.0;791.0
8.0;801.0
8.0;811.0
8.0;821.0
8.0;831.0
8.0;841.0
8.0;851.0
8.0;861.0
8.0;871.0
8.0;881.0
8.0;891.0
8.0;901.0
8.0;911.0
8.0;921.0
8.0;931.0
8.0;941.0
8.0;951.0
8.0;961.0
8.0;971.0
8.0;981.0
8.0;991.0
8.0;1001.0
8.0;1011.0
8.0;1021.0
8.0;1031.0
8.0;1041.0
8.0;1051.0
8.0;1061.0
8.0;1071.0
8.0;1081.0
8.0;1091.0
8.0;1101.0
8.0;1111.0
8.0;1121.0
8.0;1131.0
8.0;1141.0
8.0;1151.0
8.0;1161.0
8.0;1171.0
8.0;1181.0
8.0;1191.0
8.0;1201.0
8.0;1211.0
9.0;1221.0
9.0;1231.0
10.0;1241.0
10.0;1251.0
11.0;1261.0
12.0;1271.0
12.0;1281.0
12.0;1291.0
13.0;1301.0
13.0;1311.0
13.0;1321.0
13.0;1331.0
13.0;1341.0
13.0;1351.0
13.0;1361.0
13.0;1371.0
13.0;1381.0
13.0;1391.0
13.0;1401.0
13.0;1411.0
13.0;1421.0
13.0;1431.0
13.0;1441.0
13.0;1451.0
13.0;1461.0
13.0;1471.0
13.0;1481.0
13.0;1491.0
13.0;1501.0
14.0;1511.0
14.0;1521.0
14.0;1531.0
14.0;1541.0
14.0;1551.0
15.0;1561.0
16.0;1571.0
16.0;1581.0
16.0;1591.0
16.0;1601.0
16.0;1611.0
16.0;1621.0
16.0;1631.0
16.0;1641.0
16.0;1651.0
16.0;1661.0
16.0;1671.0
16.0;1681.0
16.0;1691.0
16.0;1701.0
16.0;1711.0
16.0;1721.0
16.0;1731.0
16.0;1741.0
16.0;1751.0
16.0;1761.0
16.0;1771.0
16.0;1781.0
16.0;1791.0
16.0;1801.0
16.0;1811.0
16.0;1821.0
16.0;1831.0
16.0;1841.0
16.0;1851.0
16.0;1861.0
16.0;1871.0
16.0;1881.0
16.0;1891.0
16.0;1901.0
16.0;1911.0
16.0;1921.0
16.0;1931.0
16.0;1941.0
16.0;1951.0
16.0;1961.0
17.0;1971.0
17.0;1981.0
17.0;1991.0
18.0;2001.0
18.0;2011.0
18.0;2012.0
